CCI_Code,CCI,Name,CCI_IGBP,CCI_IGBP_5,CCI_IGBP_6s,CCI_IGBP_6b,CCI_IGBP_7,CCI_IGBP_ed,f_veg,f_woody,f_herb,f_natural,f_crop,f_barren
10,"Cropland, rainfed",Cropland,CRO,CRO,CRO,CRO,CRO,CRO,,,,,,
11,"Cropland, rainfed / Herbaceous cover",Cropland,CRO,CRO,CRO,CRO,CRO,CRO,,,,,,
12,"Cropland, rainfed / Tree or shrub cover",Cropland,CRO,CRO,CRO,CRO,CRO,CRO,,,,,,
20,"Cropland, irrigated or post-flooding",Cropland,CRO,CRO,CRO,CRO,CRO,CRO,,,,,,
30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous",Mosaic cropland,MOS,MOS,MOS,MOS,MOS,MOS,1,,,<0.5,>0.5,
40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",Mosaic natural,MOS,MOS,MOS,MOS,MOS,MOS,1,,,>0.5,<0.5,
50,"Tree cover, broadleaved, evergreen, Closed to open (>15%)",Evergreen broadleaf,EBF,BLF,BLF,EBF,EBF,FOR,,>0.15,,,,
60,"Tree cover, broadleaved, deciduous, Closed to open (>15%)",Deciduous broadleaf,DBF,BLF,BLF,DBF,DBF,FOR,,>0.15,,,,
61,"Tree cover, broadleaved, deciduous, Closed (>40%)",Deciduous broadleaf,DBF,BLF,BLF,DBF,DBF,FOR,,>0.4,,,,
62,"Tree cover, broadleaved, deciduous, Open (15-40%)",Deciduous broadleaf,DBF,BLF,BLF,DBF,DBF,FOR,,0.15-0.4,,,,
70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",Evergreen needleleaf,ENF,ENF,ENF,ENF,ENF,FOR,,>0.15,,,,
71,"Tree cover, needleleaved, evergreen, closed (>40%)",Evergreen needleleaf,ENF,ENF,ENF,ENF,ENF,FOR,,>0.4,,,,
72,"Tree cover, needleleaved, evergreen, open (15-40%)",Evergreen needleleaf,ENF,ENF,ENF,ENF,ENF,FOR,,0.15-0.4,,,,
80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",Deciduous needleleaf,DNF,DNF,DNF,DNF,DNF,FOR,,>0.15,,,,
81,"Tree cover, needleleaved, deciduous, closed (>40%)",Deciduous needleleaf,DNF,DNF,DNF,DNF,DNF,FOR,,>0.4,,,,
82,"Tree cover, needleleaved, deciduous, open (15-40%)",Deciduous needleleaf,DNF,DNF,DNF,DNF,DNF,FOR,,0.15-0.4,,,,
90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",Mixed forest,MF,BLF,BLF,MF,MF,FOR,,,,,,
100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),Mosaic woody,SAV,SAV,WSAV,SAV,WSAV,SAV,1,>0.5,<0.5,1,,
110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),Mosaic herbaceous,SAV,SAV,SAV,SAV,SAV,SAV,1,<0.5,>0.5,1,,
120,Shrubland,Shrubland,SHR,SHR,SHR,SHR,SHR,SHR,1,,,,,
121,Shrubland / Evergreen Shrubland,Evergreen shrubland,ESH,SHR,SHR,SHR,SHR,SHR,1,,,,,
122,Shrubland / Deciduous Shrubland,Deciduous shrubland,DSH,SHR,SHR,SHR,SHR,SHR,1,,,,,
130,Grassland,Grassland,GRA,GRA,GRA,GRA,GRA,GRA,1,,,,,
140,Lichens and mosses,Lichens,LIC,LIC,LIC,LIC,LIC,LIC,1,,,,,
150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",Sparse vegetation,SPA,SPA,SPA,SPA,SPA,SPA,<0.15,,,,,
152,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%) / Sparse shrub (<15%)",Sparse woody + shrub,SPA,SPA,SPA,SPA,SPA,SPA,<0.3,<0.15,<0.15,,,
153,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%) / Sparse herbaceous cover (<15%)",Sparse woody + herb,SPA,SPA,SPA,SPA,SPA,SPA,<0.3,<0.15,<0.15,,,
160,"Tree cover, flooded, fresh or brakish water",Wetland forest,WET,WET,WET,WET,WET,WET,,,,,,
170,"Tree cover, flooded, saline water",Wetland saline forest,WET,WET,WET,WET,WET,WET,,,,,,
180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",Wetland shrub,WET,WET,WET,WET,WET,WET,,,,,,
190,Urban areas,Urban,URB,URB,URB,URB,URB,URB,0,,,,,
200,Bare areas,Barren,BAR,BAR,BAR,BAR,BAR,BAR,0,,,,,1
201,Consolidated bare areas,Barren,BAR,BAR,BAR,BAR,BAR,BAR,0,,,,,1
202,Unconsolidated bare areas,Barren,BAR,BAR,BAR,BAR,BAR,BAR,0,,,,,1
210,Water,Water,WAT,WAT,WAT,WAT,WAT,WAT,0,,,,,
220,Permanent snow and ice,Snow + ice,SNO,SNO,SNO,SNO,SNO,SNO,0,,,,,
